dateRep,cases,deaths,countriesAndTerritories
01/03/2020,1,0,Denmark
29/02/2020,1,0,Denmark
28/02/2020,0,0,Denmark
27/02/2020,1,0,Denmark
26/02/2020,0,0,Denmark
25/02/2020,0,0,Denmark
24/02/2020,0,0,Denmark
23/02/2020,0,0,Denmark
22/02/2020,0,0,Denmark
21/02/2020,0,0,Denmark
20/02/2020,0,0,Denmark
19/02/2020,0,0,Denmark
18/02/2020,0,0,Denmark
17/02/2020,0,0,Denmark
16/02/2020,0,0,Denmark
15/02/2020,0,0,Denmark
14/02/2020,0,0,Denmark
13/02/2020,0,0,Denmark
12/02/2020,0,0,Denmark
11/02/2020,0,0,Denmark
10/02/2020,0,0,Denmark
09/02/2020,0,0,Denmark
08/02/2020,0,0,Denmark
07/02/2020,0,0,Denmark
06/02/2020,0,0,Denmark
05/02/2020,0,0,Denmark
04/02/2020,0,0,Denmark
03/02/2020,0,0,Denmark
02/02/2020,0,0,Denmark
01/02/2020,0,0,Denmark
31/01/2020,0,0,Denmark
30/01/2020,0,0,Denmark
29/01/2020,0,0,Denmark
28/01/2020,0,0,Denmark
27/01/2020,0,0,Denmark
26/01/2020,0,0,Denmark
25/01/2020,0,0,Denmark
24/01/2020,0,0,Denmark
23/01/2020,0,0,Denmark
22/01/2020,0,0,Denmark
21/01/2020,0,0,Denmark
20/01/2020,0,0,Denmark
19/01/2020,0,0,Denmark
18/01/2020,0,0,Denmark
17/01/2020,0,0,Denmark
16/01/2020,0,0,Denmark
15/01/2020,0,0,Denmark
14/01/2020,0,0,Denmark
13/01/2020,0,0,Denmark
12/01/2020,0,0,Denmark
11/01/2020,0,0,Denmark
10/01/2020,0,0,Denmark
09/01/2020,0,0,Denmark
08/01/2020,0,0,Denmark
07/01/2020,0,0,Denmark
06/01/2020,0,0,Denmark
05/01/2020,0,0,Denmark
04/01/2020,0,0,Denmark
03/01/2020,0,0,Denmark
02/01/2020,0,0,Denmark
01/01/2020,0,0,Denmark
31/12/2019,0,0,Denmark
06/04/2020,8,0,Djibouti
05/04/2020,10,0,Djibouti
04/04/2020,0,0,Djibouti
03/04/2020,7,0,Djibouti
02/04/2020,3,0,Djibouti
01/04/2020,5,0,Djibouti
31/03/2020,7,0,Djibouti
30/03/2020,4,0,Djibouti
29/03/2020,2,0,Djibouti
28/03/2020,1,0,Djibouti
27/03/2020,0,0,Djibouti
26/03/2020,9,0,Djibouti
25/03/2020,0,0,Djibouti
24/03/2020,2,0,Djibouti
23/03/2020,0,0,Djibouti
22/03/2020,0,0,Djibouti
21/03/2020,0,0,Djibouti
20/03/2020,0,0,Djibouti
19/03/2020,1,0,Djibouti
06/04/2020,0,0,Dominica
05/04/2020,0,0,Dominica
04/04/2020,2,0,Dominica
03/04/2020,0,0,Dominica
02/04/2020,1,0,Dominica
01/04/2020,0,0,Dominica
31/03/2020,0,0,Dominica
30/03/2020,0,0,Dominica
29/03/2020,0,0,Dominica
28/03/2020,0,0,Dominica
27/03/2020,4,0,Dominica
26/03/2020,5,0,Dominica
25/03/2020,1,0,Dominica
24/03/2020,0,0,Dominica
23/03/2020,1,0,Dominica
06/04/2020,167,5,Dominican_Republic
05/04/2020,90,9,Dominican_Republic
04/04/2020,108,8,Dominican_Republic
03/04/2020,96,3,Dominican_Republic
02/04/2020,175,6,Dominican_Republic
01/04/2020,208,9,Dominican_Republic
31/03/2020,42,3,Dominican_Republic
30/03/2020,140,11,Dominican_Republic
29/03/2020,138,8,Dominican_Republic
28/03/2020,93,10,Dominican_Republic
27/03/2020,96,0,Dominican_Republic
26/03/2020,80,4,Dominican_Republic
25/03/2020,67,3,Dominican_Republic
24/03/2020,43,0,Dominican_Republic
23/03/2020,90,0,Dominican_Republic
22/03/2020,78,1,Dominican_Republic
21/03/2020,13,2,Dominican_Republic
20/03/2020,0,0,Dominican_Republic
19/03/2020,10,0,Dominican_Republic
18/03/2020,0,0,Dominican_Republic
17/03/2020,0,0,Dominican_Republic
16/03/2020,0,0,Dominican_Republic
15/03/2020,0,0,Dominican_Republic
14/03/2020,6,0,Dominican_Republic
10/03/2020,3,0,Dominican_Republic
07/03/2020,1,0,Dominican_Republic
02/03/2020,1,0,Dominican_Republic
01/03/2020,0,0,Dominican_Republic
29/02/2020,0,0,Dominican_Republic
28/02/2020,0,0,Dominican_Republic
27/02/2020,0,0,Dominican_Republic
26/02/2020,0,0,Dominican_Republic
25/02/2020,0,0,Dominican_Republic
24/02/2020,0,0,Dominican_Republic
23/02/2020,0,0,Dominican_Republic
22/02/2020,0,0,Dominican_Republic
21/02/2020,0,0,Dominican_Republic
20/02/2020,0,0,Dominican_Republic
19/02/2020,0,0,Dominican_Republic
18/02/2020,0,0,Dominican_Republic
17/02/2020,0,0,Dominican_Republic
16/02/2020,0,0,Dominican_Republic
15/02/2020,0,0,Dominican_Republic
14/02/2020,0,0,Dominican_Republic
13/02/2020,0,0,Dominican_Republic
12/02/2020,0,0,Dominican_Republic
11/02/2020,0,0,Dominican_Republic
10/02/2020,0,0,Dominican_Republic
